token,publish,CreatedAt,UpdatedAt,After_Treatment_Softwate_Level,Application,Mileage,Rear_Axle_Ratio,Transmission_Configuration,cep_id
8c897fbe4cd24166a6fd3c4d7e91ec9d,1,2019-09-03 08:12:17.043702,2019-09-03 10:43:42.892771,1,1,100,1,1,3
5c3e2d20f7834426a8a62b8b7daf98c1,1,2019-09-03 12:37:54.229137,2019-09-03 12:37:54.229170,1,1,1000,1,1,4
